name,symbol,weight
Cintas Corporation,CTAS,0.0004536
Goodyear Tire & Rubber Company,GT,0.0004528
Varian Medical Systems Inc.,VAR,0.0004496
Cimarex Energy Co.,XEC,0.00044904
Lennar Corporation Class A,LEN,0.00044897
Tiffany & Co.,TIF,0.0004489
Plum Creek Timber Company Inc.,PCL,0.00044718
Kansas City Southern,KSU,0.00044686
H&R Block Inc.,HRB,0.00044657
CF Industries Holdings Inc.,CF,0.00044473
E*TRADE Financial Corporation,ETFC,0.00044216
Unum Group,UNM,0.00043397
CenterPoint Energy Inc.,CNP,0.00043197
Affiliated Managers Group Inc.,AMG,0.00043002
Mallinckrodt Plc,MNK,0.00042742
Darden Restaurants Inc.,DRI,0.00042176
Pinnacle West Capital Corporation,PNW,0.00041477
Cablevision Systems Corporation Class A,CVC,0.0004065
NetApp Inc.,NTAP,0.00040583
Michael Kors Holdings Ltd,KORS,0.00040164
F5 Networks Inc.,FFIV,0.00040112
Columbia Pipeline Group Inc,CPGX,0.00039739
Pepco Holdings Inc.,POM,0.00039661
Nasdaq Inc.,NDAQ,0.00039517
Comerica Incorporated,CMA,0.000394
Cabot Oil & Gas Corporation,COG,0.0003905
Nordstrom Inc.,JWN,0.00038927
Discovery Communications Inc. Class C,DISCK,0.00038096
Torchmark Corporation,TMK,0.00037298
TECO Energy Inc.,TE,0.000372
NiSource Inc.,NI,0.00036772
Fluor Corporation,FLR,0.0003675
J.B. Hunt Transport Services Inc.,JBHT,0.00036562
Ralph Lauren Corporation Class A,RL,0.00036422
Xylem Inc.,XYL,0.00036376
Apartment Investment and Management Company Class A,AIV,0.0003588
Staples Inc.,SPLS,0.00035608
Qorvo Inc.,QRVO,0.00035453
AES Corporation,AES,0.0003531
Harman International Industries Incorporated,HAR,0.00035274
Robert Half International Inc.,RHI,0.00034739
FMC Technologies Inc.,FTI,0.0003463
PVH Corp.,PVH,0.00034252
Marathon Oil Corporation,MRO,0.00034163
Allegion PLC,ALLE,0.00033593
United Rentals Inc.,URI,0.00033303
Gap Inc.,GPS,0.00032018
Avery Dennison Corporation,AVY,0.00031875
Assurant Inc.,AIZ,0.00031484
PulteGroup Inc.,PHM,0.00031411
Leucadia National Corporation,LUK,0.00031245
PerkinElmer Inc.,PKI,0.00031013
Leggett & Platt Incorporated,LEG,0.00031001
Scripps Networks Interactive Inc. Class A,SNI,0.00030898
TEGNA Inc.,TGNA,0.00030773
ADT Corporation,ADT,0.00030723
Flowserve Corporation,FLS,0.00030448
Helmerich & Payne Inc.,HP,0.00028918
Iron Mountain Inc.,IRM,0.00028874
Frontier Communications Corporation Class B,FTR,0.00028785
Jacobs Engineering Group Inc.,JEC,0.00028456
Zions Bancorporation,ZION,0.00027622
News Corporation Class A,NWSA,0.00027603
First Solar Inc.,FSLR,0.00027447
Peoples United Financial Inc.,PBCT,0.00027215
FMC Corporation,FMC,0.00027103
Newfield Exploration Company,NFX,0.00027039
FLIR Systems Inc.,FLIR,0.0002651
ONEOK Inc.,OKE,0.00025932
Freeport-McMoRan Inc.,FCX,0.00025499
Wynn Resorts Limited,WYNN,0.00025218
CSRA Inc.,CSRA,0.00024098
Range Resources Corporation,RRC,0.00024027
Garmin Ltd.,GRMN,0.00023402
Discovery Communications Inc. Class A,DISCA,0.00022543
AutoNation Inc.,AN,0.00022079
Legg Mason Inc.,LM,0.00022074
Pitney Bowes Inc.,PBI,0.00021955
Navient Corp,NAVI,0.00021187
Dun & Bradstreet Corporation,DNB,0.00020098
Patterson Companies Inc.,PDCO,0.00019944
Transocean Ltd.,RIG,0.00019816
NRG Energy Inc.,NRG,0.00019703
Teradata Corporation,TDC,0.00018481
Quanta Services Inc.,PWR,0.00017684
GameStop Corp. Class A,GME,0.00017435
Murphy Oil Corporation,MUR,0.00017151
Ryder System Inc.,R,0.00015382
Southwestern Energy Company,SWN,0.00014829
Ensco plc,ESV,0.00014665
Owens-Illinois Inc.,OI,0.00013318
Tenet Healthcare Corporation,THC,0.00013286
Urban Outfitters Inc.,URBN,0.00012004
Chesapeake Energy Corporation,CHK,0.00011242
News Corporation Class B,NWS,0.0000836
CONSOL Energy Inc.,CNX,0.00008132
Diamond Offshore Drilling Inc.,DO,0.00007245
